Model,MAE,RMSE,R2,MAPE,Model_Type
Linear Regression,1.3929333178407814,1.7617870123614923,0.9981701923244443,3.6309509225980348,Traditional ML
Ridge Regression,1.4038754717863708,1.7739131658842113,0.9981449169772766,3.67964801334547,Traditional ML
Lasso Regression,1.3668202046188844,1.688008633914714,0.9983202371808813,3.6058899209088913,Traditional ML
ElasticNet,7.997620674903344,9.637949362489715,0.9452394354009435,22.56508454612655,Traditional ML
Random Forest,3.042923200000001,4.969692536912119,0.9854401239298997,5.1207204588000845,Traditional ML
Gradient Boosting,3.9191460166109597,5.168465076279733,0.9842521304380042,7.611049612117045,Traditional ML
SVM RBF,30.335155057919636,35.65145912784153,0.25070427440414356,96.94416997937277,Traditional ML
SVM Linear,0.0467624197659228,0.05517133129006492,0.9999982055739551,0.12181975040038077,Traditional ML
MLP Regressor,3.501501236248498,4.461150727045996,0.9882674495479038,10.57926320680518,Traditional ML
XGBoost,3.0923819835662845,4.6556444669216175,0.9872221362801341,5.416868588524154,Traditional ML
LightGBM,2.247141513578581,3.1908238185985667,0.993997885343559,4.0222932846213615,Traditional ML
PyTorch SimpleNN,3.0430369312286376,3.6648165048999686,0.9920822259130807,6.587888338137529,PyTorch
PyTorch DeepNN,2.931186606025696,3.740591359324436,0.9917514204063111,6.8654288259940826,PyTorch
PyTorch ResidualNN,3.589648282241822,4.26610280642301,0.9892709499579063,8.00332447404316,PyTorch
TensorFlow SimpleDense,5.477097832450867,6.704412554516148,0.9735015727554139,14.062446988393242,TensorFlow
TensorFlow DeepDense,2.2366700931167602,2.8548085618513523,0.9951954510996741,6.343755194931035,TensorFlow
TensorFlow WideDeep,2.5318202481269836,3.170537053240392,0.9940739637620774,7.211966419530371,TensorFlow
TimeSeries LSTM,36.14048385620117,41.477396129077796,-1.3709068298339844e-05,102.19054412841797,Time Series
TimeSeries GRU,36.14243698120117,41.477103293940985,3.5762786865234375e-07,102.33806610107422,Time Series
TimeSeries CNN-LSTM,36.140052795410156,41.47749177829766,-1.8358230590820312e-05,102.15823364257812,Time Series
